Node Type,Label,single,release_date,genre,notable,Id,written_date,stage_name,notoriety_date,year
Person,Yong Chen,,,,,3196,,,,
Person,Guiying Dai,,,,,3197,,,,
Person,Na Ren,,,,,3198,,,,
Person,Juan Wu,,,,,3230,,,,
Person,Chao Sun,,,,,3232,,,,
Person,Gang Yuan,,,,,3233,,,,
Song,Desert Migrations,True,2024.0,Oceanus Folk,True,3243,,,,2024.0
Person,Amanda Coleman,,,,,3244,,,,
Person,David Morgan,,,,,3245,,,,
Person,Mary Parsons,,,,,3246,,,,
Person,Gang Lai,,,,,3247,,,,
Person,Xiulan Lu,,,,,3248,,,,
Person,Aneta Pruschke-Sölzer,,,,,3359,,,,
Person,Isabella Farinelli,,,,,3360,,,,
Song,Courage in Quiet Moments,True,2023.0,Oceanus Folk,True,3367,,,,2023.0
Person,Madeleine Pineau,,,,,3368,,M.A.D. FROST (Money And Dreams),,
Person,Laetitia Petitjean,,,,,3369,,,,
Person,Émilie Maillet,,,,,3370,,,,
Person,Susan Da Silva,,,,,3371,,,,
Person,Yong Tao,,,,,3461,,,,
Person,Tao Ren,,,,,3490,,,,
Song,Beyond Our Limitations,True,2007.0,Oceanus Folk,True,3501,,,,2007.0
Person,Ignazio Pastine,,,,,3502,,Valkyris,,
Person,Constance Guibert,,,,,3503,,,,
Person,Zacharie Martins,,,,,3504,,,,
Song,Aerial Conquistadors,True,2026.0,Oceanus Folk,True,3520,,,,2026.0
Person,Min Jin,,,,,3521,,,,
Person,Albert Miller,,,,,3717,,,,
Song,First Breath of Desire,True,2016.0,Oceanus Folk,True,3730,2016.0,,2019.0,2016.0
Person,Ming Wan,,,,,3731,,Echo Dominion,,
Person,Qiang He,,,,,3732,,,,
Person,Qiang Lai,,,,,3733,,,,
Song,Echoes of Solitude,True,2020.0,Oceanus Folk,True,3782,2013.0,,,2020.0
Person,Li Xiong,,,,,3783,,Spectral Canticle,,
Person,Yong Tan,,,,,3784,,,,
Person,Yan Tao,,,,,3785,,,,
Person,Ming Liu,,,,,3892,,,,
Person,Tao Du,,,,,3893,,,,
Person,Yan Yan,,,,,3894,,,,
Person,Yoko Fujita,,,,,3895,,,,
Song,Everything's Alright,True,2020.0,Oceanus Folk,True,3909,,,,2020.0
Person,Yui Kondo,,,,,3910,,,,
Person,Kaori Kobayashi,,,,,3911,,,,
Song,Eternal Light Descends,True,2023.0,Oceanus Folk,True,3956,,,,2023.0
Person,Juan Qiao,,,,,3957,,,,
Person,Na Ma,,,,,3958,,,,
Person,Jun Jin,,,,,3959,,,,
Person,Qiang Song,,,,,3960,,,,
Person,Xiulan Ren,,,,,3961,,,,
Song,Infinite Incarnation,True,2024.0,Oceanus Folk,True,3972,,,2037.0,2024.0
Person,Fang Luo,,,,,3973,,,,
Person,Guiying Yang,,,,,3974,,,,
Person,Chao Lu,,,,,3975,,,,
Person,Lei Tang,,,,,3976,,,,
Person,Ping Chang,,,,,3977,,,,
Song,Echoes of Bananal's Green,True,2026.0,Oceanus Folk,True,4023,,,,2026.0
Person,Margherita Giammusso,,,,,4024,,,,
Person,Ida Vigliotti,,,,,4025,,,,
Person,Amedeo Mimun,,,,,4026,,,,
Person,Pina Garrone,,,,,4027,,,,
Song,Hysterical Revenge,True,2004.0,Oceanus Folk,True,4348,2000.0,,,2004.0
Person,Zoé-Agnès Delaunay,,,,,4349,,,,
Person,Thibault Hardy,,,,,4350,,,,
Person,Alfred Thibault,,,,,4351,,,,
Song,Laughter's Sharp EdgeQuesto Momento Fragile (This Fragile Moment),True,2028.0,Oceanus Folk,True,4352,,,,2028.0
Person,Yang Mo,,,,,4353,,,,
Person,Ping Wu,,,,,4354,,,,
Person,Ping Peng,,,,,4355,,,,
Person,Xia Jia,,,,,4356,,,,
Song,Whispers from Below,True,2029.0,Oceanus Folk,True,4393,,,2029.0,2029.0
Person,Xiuying Li,,,,,4394,,,,
Person,Xia Cui,,,,,4395,,,,
Person,Tao Yin,,,,,4396,,,,
Person,Lei Shen,,,,,4397,,,,
Person,Na Ren,,,,,4398,,,,
Song,Unbroken Silence,True,2004.0,Oceanus Folk,True,4565,,,,2004.0
Person,Nicola Bernetti,,,,,4566,,,,
Person,Vincentio Gentili,,,,,4567,,,,
Person,Guglielmo Canetta,,,,,4568,,,,
Person,Serena Lettiere,,,,,4569,,,,
Person,Juan Gong,,,,,4633,,,,
Song,Golden Hour's Farewell,True,2020.0,Oceanus Folk,True,4733,,,,2020.0
Person,Jill Smith,,,,,4734,,,,
Person,Michael Snyder,,,,,4735,,,,
Person,Mary Morales,,,,,4736,,,,
Song,Sylvan Bride's Lament,False,2010.0,Oceanus Folk,True,5100,2010.0,,,2010.0
Person,Ethan Sanchez,,,,,5101,,,,
Person,Yan Fang,,,,,5102,,,,
Person,Xiuying Yin,,,,,5103,,,,
Person,Fang Gu,,,,,5104,,,,
Person,Na Yang,,,,,5105,,,,
Person,Yan Liang,,,,,5106,,,,
Person,Tao Yao,,,,,5107,,,,
Person,Ping Cui,,,,,5108,,,,
Person,Tao Long,,,,,5253,,,,
Person,Xiulan Wang,,,,,5345,,,,
Person,Yong Wang,,,,,5382,,,,
Song,Reggae Spirit Rising,True,2013.0,Oceanus Folk,True,5386,,,,2013.0
Person,Yang Zhong,,,,,5387,,,,
Person,Jun Yu,,,,,5388,,,,
Person,Lei Kong,,,,,5413,,,,
Song,Six Feet From You,True,2017.0,Oceanus Folk,True,5457,,,,2017.0
Person,Raymond Martin,,,,,5458,,,,
Person,Tao Jin,,,,,5459,,,,
Song,Whispers of an Unbound Horizon,False,2017.0,Oceanus Folk,False,5598,,,,2017.0
Song,No Redemption,True,2026.0,Oceanus Folk,True,5761,2026.0,,,2026.0
Person,William Knapp,,,,,5762,,,,
Person,Michael Smith,,,,,5763,,,,
Person,Donald Medina,,,,,5858,,,,
Person,Erik Mathews,,,,,5860,,,,
Person,Lisa Hofmann,,,,,5861,,,,
Person,Joshua Orozco,,,,,5863,,,,
Person,Christine Ward,,,,,5865,,,,
Person,Min Qian,,,,,5984,,,,
Song,Twilight's Gentle Whisper,True,2023.0,Oceanus Folk,True,6170,,,,2023.0
Person,Li Qiao,,,,,6171,,,,
Person,Ping Tao,,,,,6172,,,,
Person,Lei Tan,,,,,6173,,,,
Person,Na Han,,,,,6174,,,,
Person,Liwia Piejko,,,,,6175,,,,
Person,Fang Zhong,,,,,6176,,,,
Person,Qiang Qian,,,,,6275,,,,
Person,Tao Hu,,,,,6326,,,,
Person,Li Yang,,,,,6347,,,,
Person,Jeffery Bailey,,,,,6369,,,,
Song,Echoes of Joy,False,2023.0,Oceanus Folk,True,6428,,,,2023.0
Person,Jie Li,,,,,6429,,,,
Person,Min Bai,,,,,6430,,,,
Person,Ming Qiao,,,,,6431,,,,
Person,Yang Dai,,,,,6432,,,,
Person,Guiying Tao,,,,,6433,,,,
Song,Endless Mental Replay,True,2025.0,Oceanus Folk,True,6447,,,,2025.0
Person,Chao Wu,,,,,6448,,,,
Person,Guiying Ye,,,,,6449,,,,
Person,Chao Wan,,,,,6450,,,,
Person,Xiuying Huang,,,,,6451,,,,
Person,Jun Fu,,,,,6452,,,,
Person,Fang Han,,,,,6453,,,,
Song,Tenement of Freedom,True,2014.0,Oceanus Folk,True,6524,,,,2014.0
Person,Kristin Anderson,,,,,6525,,,,
Person,James Clark,,,,,6526,,,,
Person,Ming Su,,,,,6527,,,,
Person,Vanessa Ramos,,,,,6528,,,,
Person,Tao Yao,,,,,6534,,,,
Person,Lei Qian,,,,,6579,,,,
Song,Completely Crazy (About You),True,2013.0,Oceanus Folk,True,6611,2013.0,,,2013.0
Person,Kelli Turner,,,,,6612,,,,
Person,Jennifer Diaz,,,,,6613,,,,
Person,Latasha Chavez,,,,,6614,,,,
Person,Courtney Phillips,,,,,6615,,,,
Person,Xia Zeng,,,,,6622,,,,
Song,Soft Collisions,True,2010.0,Oceanus Folk,True,6752,,,,2010.0
Person,Antonietta Zamengo-Zanazzo,,,,,6753,,,,
Person,Lauretta Tresoldi,,,,,6754,,,,
Person,Patrizio Antonello-Salvemini,,,,,6755,,,,
Song,Paradise Parallel,True,2017.0,Oceanus Folk,True,6818,2017.0,,,2017.0
Person,Na Qian,,,,,6819,,,,
Song,Echoes of Devotion,True,2023.0,Oceanus Folk,True,6941,,,,2023.0
Person,Eric Bartlett,,,,,6942,,,,
Person,Min Yan,,,,,6943,,,,
Person,Gang Zhu,,,,,6944,,,,
Person,Ming Yu,,,,,6945,,,,
Song,Clocktower Cadence,True,2017.0,Oceanus Folk,True,6994,,,,2017.0
Person,Lei Tan,,,,,6995,,,,
Person,Min He,,,,,6996,,,,
Person,Li Qiu,,,,,6997,,,,
Person,Wei Ma,,,,,6998,,,,
Person,Ping Yan,,,,,6999,,,,
Person,Gang Tao,,,,,7000,,,,
Song,Counterpoint's Silent Serenade,True,2023.0,Oceanus Folk,True,7019,,,,2023.0
Person,Xia Kang,,,,,7020,,,,
Person,Ming Yao,,,,,7021,,,,
Person,Christopher Lowery,,,,,7022,,,,
Person,Tami Cox,,,,,7023,,,,
Person,Xia Xia,,,,,7024,,,,
Person,Na Cai,,,,,7025,,,,
Song,Aviator's First Dance,True,2023.0,Oceanus Folk,True,7180,,,2023.0,2023.0
Person,Min Song,,,,,7181,,,,
Person,Yong Xia,,,,,7182,,,,
Song,Postcards from Julianne's Heart,False,2022.0,Oceanus Folk,True,7224,,,,2022.0
Person,Ming Chen,,,,,7225,,,,
Song,The Last Letter to Julianne,True,2023.0,Oceanus Folk,True,7235,2023.0,,,2023.0
Person,Jun Yuan,,,,,7236,,,,
Person,Li Ding,,,,,7237,,,,
Person,Qiang Du,,,,,7238,,,,
Person,Wei Bai,,,,,7239,,,,
Person,Yan Zhou,,,,,7240,,,,
Person,Kimberly Stanton,,,,,7246,,,,
Person,Charles Vazquez,,,,,7398,,,,
Person,Mikayla Cook,,,,,7432,,,,
Person,Jing Guo,,,,,7453,,,,
Song,Nishadpati's Lament,True,2021.0,Oceanus Folk,True,7525,2021.0,,,2021.0
Person,Daniel Oneill,,,,,7526,,,,
Person,Susan Randall,,,,,7527,,,,
Person,Christine Jones,,,,,7528,,,,
Person,Deborah Norton,,,,,7529,,,,
Song,Falling Without a Parachute,True,2027.0,Oceanus Folk,True,7876,,,2027.0,2027.0
Person,Ming Du,,,,,7877,,,,
Person,Morgan Hernandez,,,,,7878,,,,
Person,Ping Shao,,,,,7879,,,,
Person,Yang Liang,,,,,7880,,,,
Person,Patricia Pope,,,,,7881,,,,
Song,Manifest Destiny Blues,False,2010.0,Oceanus Folk,True,7920,2010.0,,,2010.0
Person,Min Zheng,,,,,7921,,,,
Person,Chao Jin,,,,,7922,,,,
Song,Twelve Months of You,False,2024.0,Oceanus Folk,True,7982,,,,2024.0
Person,Yan Feng,,,,,7983,,,,
Person,Jing Long,,,,,7984,,,,
Person,Xiuying Xiang,,,,,7985,,,,
Person,Tao Qin,,,,,7986,,,,
Song,Glance My Way,True,2013.0,Oceanus Folk,True,8079,,,,2013.0
Person,Cesare Cicilia,,,,,8080,,,,
Song,Reckless Hearts,True,2020.0,Oceanus Folk,True,8107,,,,2020.0
Person,Xiulan Dong,,,,,8108,,,,
Person,Xiuying Fan,,,,,8109,,,,
Person,Xiuying Zhang,,,,,8110,,,,
Person,Xiuying Deng,,,,,8111,,,,
Song,Shadows in Sleep,True,2009.0,Oceanus Folk,False,8148,,,,2009.0
Person,Lori Young,,,,,8149,,,,
Person,Lauren Steele,,,,,8150,,,,
Person,Jennifer Alexander,,,,,8151,,,,
Person,Sean Riggs,,,,,8152,,,,
Song,Restless Phantoms,True,2020.0,Oceanus Folk,True,8153,2020.0,,,2020.0
Person,Gang Wang,,,,,8154,,,,
Person,Evelyn Gordon,,,,,8155,,,,
Person,Wei Cheng,,,,,8156,,,,
Person,Yan Hou,,,,,8157,,,,
Person,Jie Yan,,,,,8158,,,,
Song,Roots and Winds of Departure,True,2010.0,Oceanus Folk,True,8233,,,,2010.0
Person,Adèle Bonneau,,,,,8234,,,,
Person,Édouard-Rémy Clerc,,,,,8235,,,,
Person,Yang Zhao,,,,,8253,,,,
Song,Whispers of Deceit,True,2023.0,Oceanus Folk,True,8396,,,,2023.0
Person,Lei Jia,,,,,8397,,,,
Person,Li Gu,,,,,8398,,,,
Person,Jie Chang,,,,,8399,,,,
Person,Jie Cui,,,,,8400,,,,
Song,Bullets and Badges,True,2026.0,Oceanus Folk,True,8453,,,,2026.0
Person,Carly Luna,,,,,8454,,,,
Person,Gang Tian,,,,,8455,,,,
Person,Victoria Vazquez,,,,,8456,,,,
Person,Yong Wu,,,,,8457,,,,
Song,Lawman's Last Breath,True,2020.0,Oceanus Folk,True,8458,,,,2020.0
Person,Juan Wang,,,,,8459,,,,
Person,Guiying Fan,,,,,8460,,,,
Person,Juan Chen,,,,,8461,,,,
Person,Jing Zhong,,,,,8462,,,,
Person,Juan Wu,,,,,8463,,,,
Person,Jun Hao,,,,,8503,,,,
Song,Blank Slate Boulevard,True,2023.0,Oceanus Folk,True,8557,,,,2023.0
Person,Jessica Carney,,,,,8558,,,,
Person,Erin Martinez,,,,,8559,,,,
Song,Kaleidoscope Eyes,True,2023.0,Oceanus Folk,True,8620,2020.0,,,2023.0
Person,Christopher Reilly,,,,,8621,,,,
Person,Monica Murphy,,,,,8622,,,,
Person,Jun Han,,,,,8623,,,,
Song,Small Shadows,True,2017.0,Oceanus Folk,True,8655,,,,2017.0
Person,Justin Berry,,,,,8656,,,,
Person,Xiulan Zhang,,,,,8657,,,,
Song,Luminous Silence,False,2025.0,Oceanus Folk,True,8714,,,,2025.0
Person,Ann Anderson,,,,,8715,,,,
Person,Xiuying Mo,,,,,8716,,,,
Person,Xia Zhu,,,,,8726,,,,
Person,Yong Tao,,,,,8831,,,,
Song,Chromatic Reflections on a Theme,True,2026.0,Oceanus Folk,True,8858,,,,2026.0
Person,Ryan Mcguire,,,,,8859,,,,
Person,Stephen Allen,,,,,8860,,,,
Person,Eric Hopkins,,,,,8861,,,,
Song,Shylock's Shadows,True,2020.0,Oceanus Folk,True,8881,,,,2020.0
Person,Xiuying Kang,,,,,8882,,,,
Person,Jun Xu,,,,,8883,,,,
Person,Chao Qiao,,,,,8884,,,,
Person,Karen Robinson,,,,,8885,,,,
Song,Springtime Whispers on the Seine,True,2020.0,Oceanus Folk,True,8978,,,,2020.0
Person,Fang Xiang,,,,,8979,, THVNDER,,
Person,Li Zhou,,,,,8980,,,,
Person,Ping Bai,,,,,8981,,,,
Person,Jun Wang,,,,,8982,,,,
Song,Echoes of Departure,True,2004.0,Oceanus Folk,True,9003,2004.0,,,2004.0
Person,Kevin Ruiz,,,,,9004,,,,
Person,Michael Anderson,,,,,9005,,,,
Person,Fenna Zwart,,,,,9006,,,,
Song,Palms of Passage,True,2028.0,Oceanus Folk,True,9090,,,,2028.0
Person,Xiulan Zhou,,,,,9091,,,,
Person,Nicholas Moss,,,,,9092,,,,
Person,Chao Fang,,,,,9093,,,,
Person,Yang Zhang,,,,,9094,,,,
Person,Guiying Jin,,,,,9095,,,,
Song,Grip and Grace,True,2017.0,Oceanus Folk,True,9096,2013.0,,,2017.0
Person,Tao Ye,,,,,9097,,,,
Person,Yong Guo,,,,,9098,,,,
Person,Juan Duan,,,,,9099,,,,
Song,Windows of Opportunity,True,2020.0,Oceanus Folk,True,9144,,,,2020.0
Person,Jun Ren,,,,,9145,, J.D. Powers,,
Person,Jing Cui,,,,,9146,,,,
Person,Yang Ma,,,,,9147,,,,
Person,Lisa Pennington,,,,,9148,,,,
Person,Xiuying Shao,,,,,9149,,,,
Song,The Timing is Now,True,2013.0,Oceanus Folk,True,9158,2013.0,,,2013.0
Person,Stella Fusani,,,,,9159,,Stella,,
Person,Daria Ceravolo,,,,,9160,,,,
Song,Landscape Echoes,True,2011.0,Oceanus Folk,True,9186,,,,2011.0
Person,Luciano Chindamo,,,,,9187,,,,
Song,Wandering Spirit of Prague,False,2013.0,Oceanus Folk,True,9322,,,,2013.0
Person,Min Liao,,,,,9323,,,,
Person,Min Zou,,,,,9324,,,,
Person,Tao Qian,,,,,9325,,,,
Person,Ping Xu,,,,,9426,,,,
Song,Heroes of Honor,True,2029.0,Oceanus Folk,True,9493,,,,2029.0
Person,Jie Bai,,,,,9494,,O.G. SPECTA,,
Person,Chao Qiu,,,,,9495,,,,
Person,Yan Huang,,,,,9496,,,,
Person,Chao Kang,,,,,9497,,,,
Person,Joseph Cole,,,,,9498,,,,
Person,Rachel Ford,,,,,9499,,,,
Song,Echoes of the Sámi Horizon,True,2023.0,Oceanus Folk,True,9571,,,,2023.0
Person,Yang Qian,,,,,9572,, FVTAL,,
Person,Juan Deng,,,,,9573,,,,
Person,Jun Ye,,,,,9574,,,,
Person,Jing Xiao,,,,,9575,,,,
Person,Chao Zheng,,,,,9593,,,,
Person,Jie Su,,,,,9595,,,,
Song,Light Before Sunrise,True,2013.0,Oceanus Folk,True,9602,2013.0,,,2013.0
Person,Chiyo Suzuki,,,,,9603,,,,
Person,Tomoya Nakamura,,,,,9604,,,,
Person,Kaori Watanabe,,,,,9605,,,,
Person,Bryan Smith,,,,,9633,,,,
Person,Ronald Kennedy,,,,,9635,,,,
Song,Echoes Within,True,2029.0,Oceanus Folk,True,9655,2029.0,,,2029.0
Person,Jennifer Harris,,,,,9656,,,,
Song,Earthsong Eternal,False,2013.0,Oceanus Folk,True,9685,2013.0,,,2013.0
Person,Pauline Guyot de la Maillet,,,,,9686,,,,
Person,Charles du Perez,,,,,9687,,,,
Person,Adrien Weiss,,,,,9688,,,,
Person,Na Wen,,,,,9703,,,,
Person,Xiulan Liang,,,,,9704,,,,
Song,Fragments of Consciousness,False,2014.0,Oceanus Folk,True,9709,2014.0,,,2014.0
Person,Feliciano Pizarro Moll,,,,,9710,,,,
Person,Alphons Donati-Pederiva,,,,,9711,,,,
Person,Augusto Villaverde Armengol,,,,,9712,,,,
Song,Wraith's Maritime Lament,True,2025.0,Oceanus Folk,True,9739,,,,2025.0
Person,Jun Zou,,,,,9740,,,,
Person,Juan Cheng,,,,,9741,,,,
Person,Qiang Mo,,,,,9742,,,,
Person,Yan Wang,,,,,9743,,,,
Person,Qiang Han,,,,,9822,,,,
Song,Silent Eulogy at Your Feet,True,2026.0,Oceanus Folk,True,9912,,,,2026.0
Person,Regina Davis,,,,,9913,,Q. DYNAMIK,,
Person,Jie Wan,,,,,9914,,,,
Person,Na Wen,,,,,9915,,,,
Song,Hjertets Soloppgang (Sunrise of the Heart),True,1994.0,Oceanus Folk,True,9922,,,,1994.0
Person,Teresa Rivera,,,,,9923,,,,
Person,Whitney Humphrey,,,,,9924,,,,
Person,Deborah Davis,,,,,9925,,,,
Person,Amanda Ramos,,,,,9926,,,,
Person,Gregory Williams,,,,,9990,,,,
Song,Boundless Threshold,True,2020.0,Oceanus Folk,True,10105,,,,2020.0
Person,Leif Bien,,,,,10106,,,,
Person,Margaretha Sager,,,,,10107,,,,
Person,Elsbeth Löwer,,,,,10108,,,,
Person,Alexej Klotz,,,,,10109,,,,
Song,Roadside Memories,True,2010.0,Oceanus Folk,True,10318,2010.0,,,2010.0
Song,The Misplaced Heir,True,2023.0,Oceanus Folk,True,10406,2023.0,,,2023.0
Person,Guiying Pan,,,,,10407,,,,
Person,Xiuying Duan,,,,,10408,,,,
Person,Ping Zheng,,,,,10409,,,,
Person,Na Zhong,,,,,10410,,,,
Person,Gang Meng,,,,,10411,,,,
Song,Somewhere Between Somewhere,True,2026.0,Oceanus Folk,True,10426,2026.0,,,2026.0
Person,Xiulan Mo,,,,,10427,,,,
Person,Lei Xue,,,,,10428,,,,
Person,Min Xia,,,,,10429,,,,
Person,Jörg Niemeier,,,,,10430,,,,
Person,Ming Zhong,,,,,10637,,,,
Person,Juan Dong,,,,,10638,,,,
Person,Min Mo,,,,,10639,,,,
Person,Jing Li,,,,,10887,,,,
Person,Jie Wu,,,,,11149,,,,
Person,Ming Xiao,,,,,11338,,,,
Person,Jie Zhong,,,,,11346,,,,
Song,Perfectly Plastic,True,2025.0,Oceanus Folk,True,11515,,,,2025.0
Person,Katelyn Johnson,,,,,11516,,Eon,,
Person,Isaiah Morales,,,,,11517,,,,
Person,Richard Mckenzie,,,,,11518,,,,
Song,Wild Tonight,True,2023.0,Oceanus Folk,True,11567,,,,2023.0
Song,Whispers in the Unknown,True,2026.0,Oceanus Folk,True,11578,2026.0,,,2026.0
Person,Jie Wang,,,,,11579,,,,
Person,Xia Du,,,,,11580,,,,
Person,Yong Tang,,,,,11581,,,,
Person,Tao Su,,,,,11582,,,,
Song,Whispers Between Lovers,True,2026.0,Oceanus Folk,True,11655,,,,2026.0
Person,Qiang Cui,,,,,11656,,,,
Person,Jun Yuan,,,,,11657,,,,
Person,Lei Qiu,,,,,11658,,,,
Song,Snapshot of Forever,True,2026.0,Oceanus Folk,True,11679,,,,2026.0
Song,Venom's Whisper,False,2004.0,Oceanus Folk,True,11767,2004.0,,,2004.0
Person,Guiying Tang,,,,,11786,,,,
Song,Broker's Burden,True,2020.0,Oceanus Folk,True,11797,,,,2020.0
Person,Xiulan Lai,,,,,11798,,,,
Person,Lei Su,,,,,11799,,,,
Person,Gang Shen,,,,,11800,,,,
Song,Sparks Unbound,True,2023.0,Oceanus Folk,True,11978,2023.0,,,2023.0
Person,Jose Garrett,,,,,11979,,,,
Song,Fragments of Friendship,True,2024.0,Oceanus Folk,True,12067,,,,2024.0
Person,Xia Liu,,,,,12068,,,,
Person,Jessica Beck,,,,,12069,,,,
Person,Gang Yang,,,,,12070,,,,
Person,David Nash,,,,,12071,,,,
Song,Unbreakable Divine Shelter,True,2030.0,Oceanus Folk,True,12138,2030.0,,,2030.0
Person,Amber Smith,,,,,12139,,,,
Person,Gang Zhu,,,,,12140,,,,
Person,Min Tian,,,,,12141,,,,
Person,Tao Xu,,,,,12152,,,,
Song,Whispers of Manuela's Horizon,True,2026.0,Oceanus Folk,True,12259,,,2026.0,2026.0
Person,Ishaan Bal,,,,,12260,,,,
Person,Shlok Cherian,,,,,12261,,,,
Song,Shadows of a Forgotten Name,True,2013.0,Oceanus Folk,True,12270,2013.0,,,2013.0
Person,Jun Yi,,,,,12271,,,,
Person,Xia Yu,,,,,12272,,,,
Person,Li Li,,,,,12285,,,,
Person,Ping Meng,,,,,12286,,,,
Person,Ryan Adams,,,,,12287,,,,
Person,Min Huang,,,,,12288,,,,
